model,analysis,balanced_accuracy_UB,weighted_auc_UB,weighted_f1_UB
gbc,PLA2G6_TOR1A,0.5521529,0.545701511,0.637042952
vc,PLA2G6_TOR1A,0.547054885,0.53815792,0.631316067
rf,PLA2G6_VPS16,0.543188793,0.555951329,0.527612647
gbc,PLA2G6_VPS16,0.524492366,0.537184569,0.558346081
vc,PLA2G6_VPS16,0.541321979,0.538031466,0.563742741
rf,SGCE_THAP1,0.535849886,0.561054342,0.707694346
gbc,SGCE_THAP1,0.541367689,0.583116348,0.747888143
vc,SGCE_THAP1,0.553575179,0.582415435,0.746643435
rf,SGCE_TOR1A,0.529012298,0.537003334,0.530433093
gbc,SGCE_TOR1A,0.524592801,0.538763034,0.527664524
vc,SGCE_TOR1A,0.523938574,0.536939559,0.527058967
rf,SGCE_VPS16,0.532485731,0.532828155,0.531432903
gbc,SGCE_VPS16,0.522058393,0.529353975,0.520657789
vc,SGCE_VPS16,0.530026223,0.528717518,0.529152861
rf,THAP1_TOR1A,0.537724195,0.553226932,0.703934577
gbc,THAP1_TOR1A,0.537035896,0.552325683,0.759862999
vc,THAP1_TOR1A,0.537501604,0.557440995,0.753545912
rf,THAP1_VPS16,0.541815735,0.551291925,0.680218816
gbc,THAP1_VPS16,0.534886128,0.558881988,0.734018402
vc,THAP1_VPS16,0.535559006,0.556512077,0.734156677
rf,TOR1A_VPS16,0.527979789,0.529397995,0.532904588
gbc,TOR1A_VPS16,0.530632823,0.537549055,0.535866998
vc,TOR1A_VPS16,0.527633305,0.53171484,0.533057037
