model,analysis,balanced_accuracy,weighted_auc,weighted_f1
vc,AOPEP_VPS16,0.7299516908212561,0.8057971014492754,0.8707195602188419
rf,GNAL_KMT2B,0.6052046783625731,0.6354970760233918,0.6499244050968189
gbc,GNAL_KMT2B,0.5815204678362573,0.6297076023391812,0.6343551556703121
vc,GNAL_KMT2B,0.6062573099415205,0.6354970760233918,0.6582291271946443
rf,GNAL_PANK2,0.7645652173913045,0.8178985507246377,0.7796483130708769
gbc,GNAL_PANK2,0.7330797101449276,0.7627173913043479,0.7604073039074338
vc,GNAL_PANK2,0.7470652173913044,0.8014492753623188,0.7726711346025903
rf,GNAL_PLA2G6,0.511283422459893,0.5337611408199644,0.5740423784760191
gbc,GNAL_PLA2G6,0.49884135472370766,0.5526737967914439,0.5814307666114602
vc,GNAL_PLA2G6,0.5106060606060606,0.5307130124777184,0.5966582740822197
rf,GNAL_SGCE,0.6130251141552512,0.6214630898021308,0.7349180315766514
gbc,GNAL_SGCE,0.5930251141552512,0.6120091324200914,0.7303959143743765
vc,GNAL_SGCE,0.6130251141552512,0.6096670471841705,0.7349180315766514
rf,GNAL_THAP1,0.7795238095238095,0.840952380952381,0.7897873670085483
gbc,GNAL_THAP1,0.6785714285714285,0.7647619047619048,0.69265658614543
vc,GNAL_THAP1,0.6985714285714286,0.8083809523809524,0.7096023989533118
rf,GNAL_TOR1A,0.603202352312216,0.6811681368618017,0.7646659324722953
gbc,GNAL_TOR1A,0.5647019513499064,0.6492488639401229,0.8009506583092684
vc,GNAL_TOR1A,0.6123763699545577,0.6663432237369686,0.8078238255960242
rf,GNAL_VPS16,0.6321739130434783,0.6849275362318841,0.7339225649799088
gbc,GNAL_VPS16,0.6036231884057971,0.6739130434782609,0.7272827706630075
vc,GNAL_VPS16,0.6178260869565217,0.6779710144927538,0.7249901279457376
rf,KMT2B_PANK2,0.7193077803203662,0.7858536740401729,0.7212362322786401
gbc,KMT2B_PANK2,0.7165999237223494,0.7947887532841766,0.7219329240716439
vc,KMT2B_PANK2,0.7127256547165014,0.7834625815747097,0.717187266560029
rf,KMT2B_PLA2G6,0.6076007755574319,0.6297760890640147,0.5867853328564471
gbc,KMT2B_PLA2G6,0.5825311942959001,0.6260687369046501,0.5415251303553191
vc,KMT2B_PLA2G6,0.6037730243612597,0.6263548800700504,0.5777193987905129
rf,KMT2B_SGCE,0.5549887847472563,0.5549887847472563,0.7370137581753136
gbc,KMT2B_SGCE,0.5549887847472563,0.5549887847472563,0.7370137581753136
vc,KMT2B_SGCE,0.5549887847472563,0.5549887847472563,0.7370137581753136
rf,KMT2B_THAP1,0.7916123642439431,0.8764188248398774,0.7924184737690929
gbc,KMT2B_THAP1,0.8077694235588971,0.8647507658033973,0.8096029961645351
vc,KMT2B_THAP1,0.8077694235588971,0.8832247284878865,0.8096029961645351
rf,KMT2B_TOR1A,0.5924129020760938,0.6182376104209558,0.6932042264853955
gbc,KMT2B_TOR1A,0.5213232225176682,0.5412552699578403,0.6838519082097794
vc,KMT2B_TOR1A,0.5507308769116054,0.5713983345604501,0.6879515954031781
rf,KMT2B_VPS16,0.6037757437070939,0.6358759216882788,0.6980590060283935
gbc,KMT2B_VPS16,0.5948385456394609,0.631227222645987,0.682035211447234
vc,KMT2B_VPS16,0.5905924230867022,0.6399991524705484,0.6939804561383189
rf,PANK2_PLA2G6,0.7047285514996512,0.7814705559430624,0.7025420345584765
gbc,PANK2_PLA2G6,0.7042383554212199,0.7889562181921517,0.6991067344232056
vc,PANK2_PLA2G6,0.7127528481748431,0.790634122555478,0.7066824340740981
rf,PANK2_SGCE,0.7599009000066177,0.8198026961595305,0.7811442312466879
gbc,PANK2_SGCE,0.7571231222288399,0.8379417311891999,0.7841364996881868
vc,PANK2_SGCE,0.7612707630203163,0.8357100511768468,0.7860358835170735
rf,PANK2_THAP1,0.6240734989648034,0.6517986542443065,0.5892096737796353
gbc,PANK2_THAP1,0.5033695652173913,0.5585265700483092,0.5181822796186765
vc,PANK2_THAP1,0.5702173913043478,0.5863621463077985,0.5838386881716134
rf,PANK2_TOR1A,0.6600008135467149,0.729379254171364,0.7349473595360078
gbc,PANK2_TOR1A,0.6304395767232662,0.712088626229521,0.7502292039870715
vc,PANK2_TOR1A,0.631157967527864,0.7198090392788102,0.7484408028218684
rf,PANK2_VPS16,0.6094202898550726,0.6816792690611215,0.6712774303933287
gbc,PANK2_VPS16,0.5704710144927537,0.6235139676538543,0.6742176057904239
vc,PANK2_VPS16,0.578804347826087,0.6663095988237766,0.6796960578923947
rf,PLA2G6_SGCE,0.5596464239494054,0.6143953637910124,0.605946832649448
gbc,PLA2G6_SGCE,0.5458967190030849,0.5524032122188851,0.5918710334088314
vc,PLA2G6_SGCE,0.5555939125338802,0.5688396861442792,0.6030395267765702
rf,PLA2G6_THAP1,0.7385128596893302,0.7990348866819454,0.7656754958903174
gbc,PLA2G6_THAP1,0.6821415839062898,0.7840081487140311,0.7368743630614858
vc,PLA2G6_THAP1,0.6925337407690348,0.7975290722349546,0.7433025548735551
rf,PLA2G6_TOR1A,0.6493415927280732,0.6897891362323646,0.7222926253103024
gbc,PLA2G6_TOR1A,0.6123612891974607,0.6297301521274349,0.6923553006240597
