model,analysis,balanced_accuracy,weighted_auc,weighted_f1
vc,KMT2B_PANK2,0.7039982201881516,0.7714350792440039,0.7044570820642979
rf,KMT2B_PLA2G6,0.6256027769959658,0.665805109922757,0.6469781062686172
gbc,KMT2B_PLA2G6,0.5878006066860556,0.608526440879382,0.6195774964151564
vc,KMT2B_PLA2G6,0.5930637645807925,0.6591690902836413,0.6251345016962995
rf,KMT2B_SGCE,0.5836988304093568,0.6875951293759512,0.7072587082103826
gbc,KMT2B_SGCE,0.5755096931827285,0.6673736281342626,0.7288992075000195
vc,KMT2B_SGCE,0.5741398301690299,0.685538332131699,0.7272168773729856
rf,KMT2B_THAP1,0.7784628237259816,0.8670509607351713,0.7803622476683488
gbc,KMT2B_THAP1,0.77687552213868,0.8307908660540239,0.7794975561306648
vc,KMT2B_THAP1,0.7635421888053467,0.8781565023670288,0.7670824032649942
rf,KMT2B_TOR1A,0.6192963697669729,0.6612084988377565,0.753029068039601
gbc,KMT2B_TOR1A,0.6459887355383914,0.6982617150557049,0.7717469509960615
vc,KMT2B_TOR1A,0.641350938158012,0.7230400915413366,0.7658660725743568
rf,KMT2B_VPS16,0.6192728197304855,0.6972624798711754,0.7056458505003904
gbc,KMT2B_VPS16,0.6677599796592932,0.7314602932451902,0.7327037166918144
vc,KMT2B_VPS16,0.6794940249173659,0.7319349097381135,0.7342267348902408
rf,PANK2_PLA2G6,0.70972254514454,0.7805683109871089,0.7027612733239329
gbc,PANK2_PLA2G6,0.71655719600093,0.7923045997054949,0.7097652838205434
vc,PANK2_PLA2G6,0.7079148260094551,0.7926581996434938,0.6993154776637365
rf,PANK2_SGCE,0.7641626960492356,0.8195947902190458,0.7765329250887616
gbc,PANK2_SGCE,0.7296191516114089,0.8186874765623277,0.7804655470616869
vc,PANK2_SGCE,0.7436701740453974,0.8293878079985882,0.7895821641813716
rf,PANK2_THAP1,0.5999068322981367,0.6352691511387164,0.587771130282988
gbc,PANK2_THAP1,0.6129089026915113,0.6212991718426502,0.6343328911549374
vc,PANK2_THAP1,0.5961697722567287,0.6379848171152519,0.6130849199847502
rf,PANK2_TOR1A,0.6714022349290472,0.757057614603551,0.7560656366299215
gbc,PANK2_TOR1A,0.6480700056948271,0.7454249135122362,0.7717706531527387
vc,PANK2_TOR1A,0.6445949990121218,0.7605928140580872,0.7673562017064174
rf,PANK2_VPS16,0.6344202898550725,0.7136473429951691,0.6870935959833925
gbc,PANK2_VPS16,0.5896739130434783,0.6791902961562698,0.6832166391478139
vc,PANK2_VPS16,0.5994565217391304,0.7024364629279563,0.689806679234986
rf,PLA2G6_SGCE,0.6000997077951148,0.6337237198740018,0.6452729650076819
gbc,PLA2G6_SGCE,0.5925459266313416,0.6193328327595047,0.6549409572269868
vc,PLA2G6_SGCE,0.6027541734834241,0.6330668693380216,0.6642685656718752
rf,PLA2G6_THAP1,0.753396995161701,0.7959799677446735,0.7840506762145418
gbc,PLA2G6_THAP1,0.7014463967405143,0.7452211187505305,0.7533931759543866
vc,PLA2G6_THAP1,0.7146906035141329,0.7892852898735251,0.7633954364613055
rf,PLA2G6_TOR1A,0.6728066075157919,0.70872594523946,0.731579217413384
gbc,PLA2G6_TOR1A,0.633132709232997,0.6563876416888352,0.7138963628704961
vc,PLA2G6_TOR1A,0.6349378258265469,0.6951330608790867,0.7144977575204197
rf,PLA2G6_VPS16,0.628067116174533,0.6619804179906482,0.6748148394771413
gbc,PLA2G6_VPS16,0.6131016042780748,0.6547805419928182,0.6679696190587998
vc,PLA2G6_VPS16,0.6189413314733007,0.6540649461365573,0.6738326807451837
rf,SGCE_THAP1,0.7555164166123071,0.8668982387475538,0.8257589357041976
gbc,SGCE_THAP1,0.7086850402261361,0.8522385301152425,0.8341955054464172
vc,SGCE_THAP1,0.7245564253098499,0.8632166412988331,0.8375980186948437
rf,SGCE_TOR1A,0.6519390525083641,0.7111709604827333,0.6525612082088442
gbc,SGCE_TOR1A,0.6374684783816014,0.6923506623913628,0.6402460665463978
vc,SGCE_TOR1A,0.6460144529519247,0.7079712873555082,0.6489032862237543
rf,SGCE_VPS16,0.6209053007742704,0.7032068250501842,0.6205797681551968
gbc,SGCE_VPS16,0.641315928793594,0.710640703240465,0.6413149492915793
vc,SGCE_VPS16,0.6356586261663688,0.7154082015308936,0.6357314893012338
rf,THAP1_TOR1A,0.6982006339023179,0.7722293504410586,0.7553887646805829
gbc,THAP1_TOR1A,0.6804574789017451,0.7582113262305724,0.8239606891083314
vc,THAP1_TOR1A,0.6790781685569176,0.7811201486742787,0.8156056672057563
rf,THAP1_VPS16,0.7238716356107661,0.7672601794340925,0.7616807829966536
gbc,THAP1_VPS16,0.6531884057971015,0.7537198067632851,0.7840411013895193
vc,THAP1_VPS16,0.6517391304347826,0.7701587301587302,0.7821806419812215
rf,TOR1A_VPS16,0.608324907313785,0.6421858838022849,0.6089754101019146
gbc,TOR1A_VPS16,0.5910968934137583,0.6326123759825514,0.596366649958749
vc,TOR1A_VPS16,0.5942952942133585,0.6452870463992809,0.5992577740791826
